,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
70,1457869832.0,41.178975567,-8.59409525,167.9,0.000,303.40,5.7,?,?
71,1457869833.0,41.1789751,-8.5940991,168.4,0.000,308.30,5.7,?,?
72,1457869834.0,41.178975017,-8.5941022,168.7,0.051,297.50,5.7,?,?
73,1457869835.0,41.178975567,-8.5941043,168.9,0.000,302.10,5.7,?,?
74,1457869836.0,41.1789761,-8.594106183,169.0,0.000,81.40,5.7,?,?
75,1457869837.0,41.178976717,-8.59410765,169.1,0.000,270.90,5.6,?,?
76,1457869838.0,41.178976783,-8.594109383,169.1,0.000,231.40,5.6,?,?
77,1457869839.0,41.17897715,-8.594110617,169.1,0.000,90.40,5.6,?,?
78,1457869840.0,41.1789776,-8.5941116,169.1,0.000,218.20,5.6,?,?
79,1457869841.0,41.178977867,-8.5941125,169.0,0.000,238.90,5.6,?,?
80,1457869842.0,41.17897785,-8.5941135,168.8,0.000,246.30,5.6,?,?
81,1457869843.0,41.178978083,-8.594114183,168.8,0.000,186.80,1.5,?,?
82,1457869844.0,41.178978267,-8.59411485,168.6,0.000,109.50,5.6,?,?
83,1457869845.0,41.178978467,-8.594115483,168.5,0.000,222.80,1.5,?,?
84,1457869846.0,41.178978617,-8.5941161,168.4,0.000,227.70,1.5,?,?
85,1457869847.0,41.178978667,-8.594116817,168.3,0.051,247.80,1.5,?,?
86,1457869848.0,41.178978533,-8.594117417,168.1,0.051,126.80,1.5,?,?
87,1457869849.0,41.178977783,-8.594118067,167.9,0.154,183.00,1.5,?,?
88,1457869850.0,41.178979283,-8.594115517,168.0,0.206,60.10,5.5,?,?
89,1457869851.0,41.178979833,-8.59411635,167.7,0.154,35.90,5.5,?,?
90,1457869852.0,41.17898045,-8.594116683,167.6,0.051,355.60,17.3,?,?
91,1457869853.0,41.178981067,-8.594116683,167.6,0.051,5.80,2.8,?,?
92,1457869854.0,41.178979433,-8.59411465,167.1,0.412,157.50,1.3,?,?
93,1457869855.0,41.17896805,-8.59411515,157.4,0.051,276.10,1.3,?,?
94,1457869856.0,41.178960117,-8.5941339,149.8,0.412,251.20,1.2,?,?
95,1457869857.0,41.178951117,-8.59416815,140.3,0.669,247.70,1.2,?,?
96,1457869858.0,41.178947133,-8.59417745,137.3,0.412,226.20,1.2,?,?
97,1457869859.0,41.178944967,-8.59417925,136.2,0.206,213.90,1.4,?,?
98,1457869860.0,41.178942983,-8.594181483,135.4,0.257,225.90,1.2,?,?
99,1457869861.0,41.17894185,-8.594182867,135.0,0.154,222.20,1.2,?,?
100,1457869862.0,41.178941833,-8.594182017,134.7,0.051,208.40,1.4,?,?
101,1457869863.0,41.178942283,-8.594181883,134.5,0.103,246.40,1.4,?,?
102,1457869864.0,41.178944783,-8.5941847,134.1,0.412,301.50,1.4,?,?
103,1457869865.0,41.17894425,-8.594186133,133.7,0.103,179.40,1.4,?,?
104,1457869866.0,41.1789448,-8.594183833,133.1,0.154,147.50,1.4,?,?
