,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
103,1518263891.0,41.23775665,-8.54740855,134.2,15.793,351.20,1.6,?,?
104,1518263892.0,41.237892717,-8.547437567,134.5,15.896,351.60,1.6,?,?
105,1518263893.0,41.238025483,-8.547466217,135.1,15.691,351.40,1.6,?,?
106,1518263894.0,41.238159067,-8.547494833,135.6,15.382,351.10,1.6,?,?
107,1518263895.0,41.238288983,-8.547523517,136.2,14.867,350.70,1.6,?,?
108,1518263896.0,41.238416067,-8.54755395,136.7,14.507,349.80,1.6,?,?
109,1518263897.0,41.238535917,-8.547585517,137.4,13.890,349.00,1.6,?,?
110,1518263898.0,41.238650233,-8.547613817,138.1,13.118,349.40,2.1,?,?
111,1518263899.0,41.238759233,-8.54764325,138.6,12.398,348.80,1.6,?,?
112,1518263900.0,41.238862583,-8.54767195,139.3,11.884,348.60,1.9,3.7,4.2
113,1518263901.0,41.238964017,-8.5476995,140.1,11.472,348.50,1.9,3.7,4.2
114,1518263902.0,41.239069133,-8.547726767,140.5,11.626,348.20,1.9,3.7,4.2
115,1518263903.0,41.239177033,-8.54775435,140.8,11.987,348.50,1.9,3.7,4.2
116,1518263904.0,41.23928255,-8.547783333,141.0,12.089,348.40,1.9,3.7,4.2
117,1518263905.0,41.239408083,-8.547806683,140.7,13.170,350.40,1.9,3.7,4.2
118,1518263906.0,41.239535333,-8.547832167,140.3,13.684,350.20,1.6,?,?
119,1518263907.0,41.23967065,-8.547855817,140.3,13.993,350.10,1.6,?,?
120,1518263908.0,41.239798983,-8.547883667,140.6,13.993,349.60,2.2,?,?
121,1518263909.0,41.239922683,-8.547912883,140.9,13.787,349.30,2.2,?,?
122,1518263910.0,41.2400465,-8.547943533,141.2,13.839,348.90,2.2,?,?
123,1518263911.0,41.240168517,-8.547972833,141.6,13.736,349.20,2.2,?,?
124,1518263912.0,41.240290567,-8.548000567,141.6,13.684,350.40,2.2,?,?
125,1518263913.0,41.240414183,-8.548024633,141.6,13.581,351.50,2.2,?,?
126,1518263914.0,41.24053415,-8.548049317,141.1,13.015,352.80,2.7,3.9,4.7
127,1518263915.0,41.240634783,-8.548065183,147.0,12.295,355.30,7.6,1.0,7.7
128,1518263916.0,41.2407383,-8.548084917,145.9,11.729,0.00,7.6,1.0,7.7
129,1518263917.0,41.240833817,-8.5480785,146.0,11.163,6.00,7.6,1.0,7.7
130,1518263918.0,41.240933117,-8.548058717,146.2,10.803,10.70,11.1,?,?
