,timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
669,1577399561.0,-27.686850079396105,-51.12630810900275,904.133403052953,4.0,158.33667,8.192212,20,gps,0.8,1.4,1.6,3.6,,,,83,,47.42325433948263,6.0
670,1577399562.0,-27.6869202310406,-51.12628056980168,903.9978395133612,4.0,161.04594,8.26204,20,gps,0.8,1.4,1.6,3.6,,,,83,,8.234809000101903,1.0
671,1577399563.0,-27.68698920640549,-51.126253596852976,903.794680563806,4.0,160.95132,8.158144,20,gps,0.8,1.3,1.5,3.6,,,,83,,8.093335677123305,1.0
672,1577399564.0,-27.68705605325052,-51.12622642065101,903.7482093333751,4.0,160.38704,7.87572,20,gps,0.8,1.3,1.5,3.6,,,,83,,7.8777577639282015,1.0
673,1577399565.0,-27.687117005360463,-51.12619535074317,903.8447437819868,4.0,156.20557,7.4117017,19,gps,0.8,1.3,1.5,3.6,,,,83,,7.417211258001502,1.0
674,1577399566.0,-27.68716793616472,-51.12615678930835,903.8765424131168,4.0,146.26804,6.816451,19,gps,0.8,1.3,1.5,3.6,,,,83,,6.806077642564513,1.0
675,1577399567.0,-27.68720760401443,-51.12611147676721,903.9426175107908,4.0,134.14253,6.244235,19,gps,0.8,1.4,1.6,3.6,,,,83,,6.269144968061297,1.0
676,1577399568.0,-27.687233642788662,-51.12606003587213,904.040960209184,4.0,119.37996,5.882854,19,gps,0.8,1.3,1.5,3.6,,,,83,,5.837383622748222,1.0
677,1577399569.0,-27.68724822387388,-51.12600300588025,904.0765265740274,4.0,105.84155,5.8128057,19,gps,0.8,1.3,1.5,3.6,,,,83,,5.853133494483878,1.0
678,1577399570.0,-27.68725127063641,-51.12594198605193,904.1144612227372,4.0,93.02694,5.963064,20,gps,0.8,1.3,1.5,3.6,,,,83,,6.028725180465593,1.0
679,1577399571.0,-27.68724215255107,-51.1258815371353,904.1956496559636,4.0,79.662224,6.028933,20,gps,0.8,1.3,1.5,3.6,,,,83,,6.0479478147528125,1.0
680,1577399572.0,-27.6872245170324,-51.12582189882165,904.1222652012084,4.0,71.26331,6.164129,20,gps,0.8,1.3,1.5,3.6,,,,83,,6.199088233114778,1.0
681,1577399573.0,-27.68719729345818,-51.1257657227895,904.0356325548552,4.0,61.572838,6.291738,20,gps,0.8,1.3,1.5,3.6,,,,83,,6.309402861113156,1.0
682,1577399574.0,-27.687162199845336,-51.12571329856247,903.76967708841,4.0,52.539707,6.420946,20,gps,0.8,1.2,1.5,3.6,,,,83,,6.470419812641532,1.0
683,1577399575.0,-27.68711952673673,-51.12566638085667,903.627876413301,4.0,44.434357,6.6002297,21,gps,0.8,1.2,1.4,3.6,,,,83,,6.616758839347918,1.0
684,1577399576.0,-27.687070727742444,-51.12562642935695,903.6416393978932,4.0,35.882492,6.694002,21,gps,0.8,1.2,1.5,3.6,,,,83,,6.691333581403505,1.0
685,1577399577.0,-27.687016695918288,-51.12559590238607,903.6782521028814,4.0,26.655104,6.697884,20,gps,0.8,1.2,1.5,3.6,,,,83,,6.702109357751027,1.0
686,1577399578.0,-27.68695863295392,-51.125574410481846,903.6792484991524,4.0,18.019886,6.803339,20,gps,0.8,1.2,1.5,3.6,,,,83,,6.774493768885341,1.0
