n	Session	location.seconds.Unix	location.millis	location.gpstime	location.lat	location.lon	location.alt	location.track	location.speed.M-S	location.acc	location.nsats
66	16655	1518257465	429	1518257465	41.23905854	-8.54162514	193.2	0	0	9	8
67	16655	1518257467	455	1518257467	41.23905857	-8.54162517	193.2	0	0	9	8
68	16655	1518257468	990	1518257469	41.23905862	-8.54162522	193.2	0	0	9	8
69	16655	1518257470	526	1518257470	41.23905862	-8.5416252	193.2	0	0	9	8
70	16655	1518257472	472	1518257472	41.23905864	-8.54162523	193.2	0	0	9	8
71	16655	1518257474	443	1518257474	41.23905138	-8.54162977	193.4	205.2	1.5	9	8
72	16655	1518257476	450	1518257476	41.23900303	-8.54165873	193	207.8	3.25	9	8
73	16655	1518257477	959	1518257478	41.23892273	-8.54171089	193.6	205.4	5	9	8
74	16655	1518257479	482	1518257479	41.2388743	-8.54174079	192.8	205.8	5.75	9	8
75	16655	1518257481	434	1518257481	41.23877652	-8.54180295	192.5	205	6.25	9	8
76	16655	1518257483	459	1518257483	41.23867974	-8.54186578	192	208.8	5.5	9	8
77	16655	1518257484	995	1518257485	41.23863971	-8.54191807	193.4	223.9	2.75	9	8
78	16655	1518257486	522	1518257486	41.23863066	-8.54193372	193.6	228.9	1.75	9	8
79	16655	1518257487	930	1518257488	41.23861649	-8.54198756	192.6	244.1	2.25	10	7
80	16655	1518257488	899	1518257489	41.2386173	-8.54202996	192.4	260.6	3	10	7
81	16655	1518257489	904	1518257490	41.23861553	-8.54209682	193.6	267	4.25	10	7
82	16655	1518257490	901	1518257491	41.23864971	-8.54220651	191	283.9	6.75	9	7
83	16655	1518257491	899	1518257492	41.23866871	-8.54229507	191.3	285.9	7.25	9	7
84	16655	1518257492	899	1518257493	41.23868423	-8.54238424	190.5	285.4	7.25	9	7
85	16655	1518257493	899	1518257494	41.23869995	-8.5424562	190.3	286.6	6.75	9	7
86	16655	1518257494	901	1518257495	41.23871499	-8.5425158	190.4	287.4	6	10	7
87	16655	1518257495	903	1518257496	41.23872648	-8.54256247	189	294.7	4.25	9	7
88	16655	1518257496	897	1518257497	41.23873986	-8.54258594	189.3	303.4	2.75	9	7
89	16655	1518257497	905	1518257498	41.23874542	-8.54259718	188.8	299.5	1.25	9	7
90	16655	1518257498	891	1518257499	41.23874746	-8.54260216	189.1	299.5	0.75	9	7
91	16655	1518257499	912	1518257500	41.23874892	-8.54260749	189	299.5	0.25	9	7
92	16655	1518257500	905	1518257501	41.23874691	-8.54261231	189.5	299.5	0.25	9	7
93	16655	1518257501	908	1518257502	41.23874712	-8.54261509	190.3	299.5	0.5	10	7
94	16655	1518257502	899	1518257503	41.23875025	-8.54261868	189.9	299.5	0.5	9	7
95	16655	1518257503	894	1518257504	41.23874824	-8.54262056	190.4	299.5	0.25	9	7
