n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.epx	gps.nsats
69	4606	1411812296	138	1411812296	41.1781272888184	-8.59838485717773	179			9	7
70	4606	1411812297	143	1411812297	41.1781272888184	-8.59838485717773	179			10	7
71	4606	1411812298	153	1411812298	41.1781272888184	-8.59838485717773	179			10	7
72	4606	1411812299	176	1411812299	41.1781272888184	-8.59838485717773	179			9	7
73	4606	1411812300	99	1411812300	41.1781272888184	-8.59838485717773	179			9	8
74	4606	1411812301	127	1411812301	41.1781272888184	-8.59838485717773	179			9	8
75	4606	1411812302	100	1411812302	41.1781272888184	-8.59838581085205	179			9	8
76	4606	1411812303	165	1411812303	41.1781272888184	-8.59838581085205	179			9	8
77	4606	1411812304	149	1411812304	41.1781272888184	-8.59838581085205	179			9	8
78	4606	1411812305	149	1411812305	41.1781272888184	-8.59838581085205	179			9	8
79	4606	1411812306	165	1411812306	41.1781272888184	-8.59838581085205	179			9	8
80	4606	1411812307	154	1411812307	41.1781272888184	-8.59838581085205	179			9	8
81	4606	1411812308	148	1411812308	41.1781272888184	-8.59838581085205	179			9	9
82	4606	1411812309	135	1411812309	41.1781272888184	-8.59838581085205	179			9	8
83	4606	1411812310	149	1411812310	41.1781272888184	-8.59838676452637	180			9	8
84	4606	1411812311	167	1411812311	41.1781272888184	-8.59838676452637	180			9	8
85	4606	1411812312	147	1411812312	41.1781272888184	-8.59838676452637	180			9	9
86	4606	1411812313	140	1411812313	41.1781272888184	-8.59838676452637	180			9	9
87	4606	1411812314	166	1411812314	41.1781272888184	-8.59838771820068	180			9	9
88	4606	1411812315	121	1411812315	41.1781272888184	-8.59838771820068	180			9	9
89	4606	1411812316	140	1411812316	41.1781234741211	-8.59838771820068	180			9	9
90	4606	1411812317	161	1411812317	41.1781234741211	-8.59838771820068	180			9	9
91	4606	1411812318	158	1411812318	41.1781234741211	-8.59838771820068	180			9	8
92	4606	1411812319	135	1411812319	41.1781234741211	-8.59838771820068	180			9	9
93	4606	1411812320	153	1411812320	41.1781234741211	-8.598388671875	180			9	9
94	4606	1411812321	176	1411812321	41.1781234741211	-8.598388671875	180			9	9
95	4606	1411812322	158	1411812322	41.1781234741211	-8.598388671875	180			9	9
96	4606	1411812323	170	1411812323	41.1781234741211	-8.598388671875	180			9	8
97	4606	1411812324	138	1411812324	41.1781234741211	-8.598388671875	180			9	8
98	4606	1411812325	148	1411812325	41.1781234741211	-8.598388671875	181			9	9
99	4606	1411812326	164	1411812326	41.1781234741211	-8.598388671875	181			9	9
100	4606	1411812327	149	1411812327	41.1781234741211	-8.598388671875	181			9	9
101	4606	1411812328	99	1411812328	41.1781234741211	-8.598388671875	181			9	9
102	4606	1411812329	151	1411812329	41.1781234741211	-8.598388671875	181			9	9
103	4606	1411812330	160	1411812330	41.1781234741211	-8.598388671875	181			9	9
104	4606	1411812331	102	1411812331	41.1781234741211	-8.598388671875	181			9	9
