gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1457869836.00	41.178976100	-8.594106183	169.0	0.000	81.40	5.7	?	?
1457869837.00	41.178976717	-8.594107650	169.1	0.000	270.90	5.6	?	?
1457869838.00	41.178976783	-8.594109383	169.1	0.000	231.40	5.6	?	?
1457869839.00	41.178977150	-8.594110617	169.1	0.000	90.40	5.6	?	?
1457869840.00	41.178977600	-8.594111600	169.1	0.000	218.20	5.6	?	?
1457869841.00	41.178977867	-8.594112500	169.0	0.000	238.90	5.6	?	?
1457869842.00	41.178977850	-8.594113500	168.8	0.000	246.30	5.6	?	?
1457869843.00	41.178978083	-8.594114183	168.8	0.000	186.80	1.5	?	?
1457869844.00	41.178978267	-8.594114850	168.6	0.000	109.50	5.6	?	?
1457869845.00	41.178978467	-8.594115483	168.5	0.000	222.80	1.5	?	?
1457869846.00	41.178978617	-8.594116100	168.4	0.000	227.70	1.5	?	?
1457869847.00	41.178978667	-8.594116817	168.3	0.051	247.80	1.5	?	?
1457869848.00	41.178978533	-8.594117417	168.1	0.051	126.80	1.5	?	?
1457869849.00	41.178977783	-8.594118067	167.9	0.154	183.00	1.5	?	?
1457869850.00	41.178979283	-8.594115517	168.0	0.206	60.10	5.5	?	?
1457869851.00	41.178979833	-8.594116350	167.7	0.154	35.90	5.5	?	?
1457869852.00	41.178980450	-8.594116683	167.6	0.051	355.60	17.3	?	?
1457869853.00	41.178981067	-8.594116683	167.6	0.051	5.80	2.8	?	?
1457869854.00	41.178979433	-8.594114650	167.1	0.412	157.50	1.3	?	?
1457869855.00	41.178968050	-8.594115150	157.4	0.051	276.10	1.3	?	?
1457869856.00	41.178960117	-8.594133900	149.8	0.412	251.20	1.2	?	?
1457869857.00	41.178951117	-8.594168150	140.3	0.669	247.70	1.2	?	?
1457869858.00	41.178947133	-8.594177450	137.3	0.412	226.20	1.2	?	?
1457869859.00	41.178944967	-8.594179250	136.2	0.206	213.90	1.4	?	?
1457869860.00	41.178942983	-8.594181483	135.4	0.257	225.90	1.2	?	?
1457869861.00	41.178941850	-8.594182867	135.0	0.154	222.20	1.2	?	?
1457869862.00	41.178941833	-8.594182017	134.7	0.051	208.40	1.4	?	?
1457869863.00	41.178942283	-8.594181883	134.5	0.103	246.40	1.4	?	?
1457869864.00	41.178944783	-8.594184700	134.1	0.412	301.50	1.4	?	?
1457869865.00	41.178944250	-8.594186133	133.7	0.103	179.40	1.4	?	?
1457869866.00	41.178944800	-8.594183833	133.1	0.154	147.50	1.4	?	?
1457869867.00	41.178941567	-8.594190133	133.3	0.206	201.50	1.4	?	?
1457869868.00	41.178938967	-8.594191617	133.0	0.309	167.60	1.3	?	?
1457869869.00	41.178941000	-8.594193750	133.1	0.103	147.40	1.2	?	?
1457869870.00	41.178940800	-8.594195150	133.2	0.103	157.30	1.2	?	?
1457869871.00	41.178940367	-8.594195600	133.4	0.051	141.00	1.4	?	?
1457869872.00	41.178937633	-8.594196200	133.6	0.154	174.20	1.2	?	?
1457869873.00	41.178935733	-8.594197683	133.8	0.051	140.40	1.2	?	?
1457869874.00	41.178932200	-8.594199083	134.0	0.103	164.20	1.2	?	?
1457869875.00	41.178930083	-8.594200450	134.1	0.051	173.50	1.3	?	?
1457869876.00	41.178927633	-8.594200967	134.1	0.051	165.20	1.3	?	?
1457869877.00	41.178925717	-8.594201533	134.0	0.103	157.50	1.3	?	?
1457869878.00	41.178924000	-8.594202067	133.9	0.103	161.50	1.3	?	?
1457869879.00	41.178922600	-8.594200767	133.7	0.103	168.20	1.3	?	?
1457869880.00	41.178920800	-8.594200467	133.5	0.051	149.60	1.3	?	?
1457869881.00	41.178919050	-8.594197617	133.2	0.154	178.90	1.3	?	?
1457869882.00	41.178916817	-8.594194817	132.9	0.103	177.90	1.3	?	?
1457869883.00	41.178914417	-8.594193183	132.6	0.103	172.90	1.3	?	?
1457869884.00	41.178912283	-8.594192000	132.3	0.051	161.50	1.3	?	?
1457869885.00	41.178909367	-8.594191150	132.0	0.103	164.20	1.3	?	?
1457869886.00	41.178906850	-8.594190950	131.7	0.154	165.30	1.3	?	?
1457869887.00	41.178905467	-8.594191333	131.4	0.154	166.30	1.5	?	?
1457869888.00	41.178903233	-8.594192283	131.2	0.154	168.30	1.5	?	?
1457869889.00	41.178901567	-8.594192517	130.9	0.103	161.10	1.5	?	?
1457869890.00	41.178903917	-8.594193383	130.9	0.154	141.40	1.5	?	?
1457869891.00	41.178908583	-8.594193083	131.3	0.103	118.80	2.0	?	?
1457869892.00	41.178907717	-8.594194833	131.2	0.103	231.20	1.5	?	?
1457869893.00	41.178906883	-8.594193983	130.6	0.051	357.20	1.5	?	?
1457869894.00	41.178907917	-8.594193833	130.3	0.051	355.00	1.5	?	?
1457869895.00	41.178908817	-8.594193867	130.1	0.000	190.50	1.5	?	?
1457869896.00	41.178914733	-8.594196067	130.3	0.051	42.10	1.3	?	?
1457869897.00	41.178926033	-8.594198700	131.0	0.103	56.20	1.4	?	?
1457869898.00	41.178929633	-8.594196600	130.9	0.000	3.00	1.3	?	?
1457869899.00	41.178933567	-8.594194083	131.0	0.051	9.00	1.3	?	?
1457869900.00	41.178936000	-8.594190367	130.9	0.051	18.40	1.3	?	?
1457869901.00	41.178938217	-8.594187250	130.9	0.000	177.80	1.2	?	?
1457869902.00	41.178942800	-8.594186633	131.0	0.051	295.30	1.2	?	?
1457869903.00	41.178947050	-8.594186750	131.3	0.051	338.60	1.2	?	?
1457869904.00	41.178950300	-8.594187017	131.5	0.103	6.90	1.2	?	?
1457869905.00	41.178952217	-8.594187450	131.7	0.051	345.30	1.2	?	?
1457869906.00	41.178953700	-8.594186017	131.9	0.154	85.80	1.2	?	?
1457869907.00	41.178956067	-8.594187433	132.2	0.206	27.30	1.2	?	?
1457869908.00	41.178955783	-8.594183700	132.1	0.051	340.30	1.2	?	?
1457869909.00	41.178953483	-8.594183767	132.2	0.000	272.00	1.2	?	?
1457869910.00	41.178949033	-8.594188667	132.3	0.000	192.20	1.2	?	?
1457869911.00	41.178944717	-8.594195367	132.5	0.051	302.80	1.2	?	?
1457869912.00	41.178942533	-8.594197600	132.6	0.103	102.00	1.2	?	?
1457869913.00	41.178940917	-8.594196117	132.5	0.566	124.50	1.2	?	?
1457869914.00	41.178941067	-8.594197667	132.8	0.257	137.50	1.2	?	?
1457869915.00	41.178941583	-8.594195417	132.8	0.309	68.40	1.2	?	?
1457869916.00	41.178943000	-8.594186433	133.2	0.051	264.40	1.2	?	?
1457869917.00	41.178944667	-8.594180533	133.4	0.206	194.30	1.4	?	?
1457869918.00	41.178951050	-8.594175117	133.5	1.029	12.30	1.4	?	?
1457869919.00	41.178970250	-8.594163567	133.6	2.932	24.20	1.4	?	?
1457869920.00	41.178996700	-8.594141183	134.0	3.755	33.10	1.4	?	?
