,timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
30,1577395410.0,-27.71768860948184,-51.09906108813794,977.054104902322,4.0,330.61346,0.011009998,19,gps,0.7,1.0,1.2,3.6,,,,97,,0.1003310580314277,1.0
31,1577395411.0,-27.71768783279905,-51.09906111943381,977.0004400338464,4.0,327.75784,0.049434125,18,gps,0.8,1.0,1.3,3.6,,,,97,,0.0861233541363455,1.0
32,1577395412.0,-27.71768750864208,-51.09906161754534,976.8881612481604,4.0,327.75266,0.011944758,19,gps,0.7,1.0,1.2,3.6,,,,97,,0.0608551306783865,1.0
33,1577395413.0,-27.71768659596581,-51.09906217717784,976.8442169617456,4.0,327.75635,0.009902557,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.1152162387014635,1.0
34,1577395416.0,-27.717688760909034,-51.099062651579125,977.1308221784036,4.0,327.78885,0.006044199,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.2444270712908357,3.0
35,1577395417.0,-27.71769027737952,-51.099062243682496,977.041877108111,4.0,327.77774,0.020946836,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.1727948865629016,1.0
36,1577395418.0,-27.71769075452337,-51.09906169122408,977.0011328691576,4.0,327.77936,0.015298159,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.0759209849393683,1.0
37,1577395419.0,-27.717692193497825,-51.099060718967664,977.0089034548168,4.0,327.7762,0.010670594,19,gps,0.8,0.9,1.2,3.6,,,,97,,0.1860661420752214,1.0
38,1577395420.0,-27.71769245019171,-51.099060098367175,976.965549415032,4.0,327.7756,0.01152817,18,gps,0.7,0.9,1.2,3.6,,,,97,,0.0674892866460375,1.0
39,1577395421.0,-27.717692279607896,-51.09906028165221,977.02136174764,4.0,327.77502,0.008515466,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.0261541320495446,1.0
40,1577395422.0,-27.717692749282,-51.09906043416032,977.1563526722048,4.0,327.76685,0.014854272,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.0541763580096101,1.0
41,1577395423.0,-27.71769258122304,-51.09906073141116,977.168274371488,4.0,327.7666,0.01018118,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.0347295632024231,1.0
42,1577395424.0,-27.717692754921845,-51.09905998683941,977.2728066709908,4.0,327.7654,0.019623693,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.0759084414878127,1.0
43,1577395427.0,-27.71769202257415,-51.09905899871125,977.4716909676644,4.0,327.7834,0.03219531,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.1268144862236905,3.0
44,1577395428.0,-27.71769203581417,-51.09905880694978,977.5218167134096,4.0,327.7834,0.021019775,19,gps,0.7,0.9,1.2,3.6,,,,97,,0.0189677750244916,1.0
