gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1518257269.00	41.239060083	-8.541630333	146.0	0.000	61.50	1.5	2.4	2.8
1518257270.00	41.239060150	-8.541630483	145.9	0.051	327.10	1.5	2.4	2.8
1518257271.00	41.239060233	-8.541630450	145.9	0.051	344.00	1.5	2.4	2.8
1518257272.00	41.239060317	-8.541630483	145.9	0.051	331.60	1.5	2.4	2.8
1518257273.00	41.239060433	-8.541630550	145.9	0.051	339.80	1.5	2.4	2.8
1518257274.00	41.239060450	-8.541630567	145.8	0.051	337.10	1.5	2.4	2.8
1518257275.00	41.239060400	-8.541630650	145.9	0.051	318.00	1.5	2.4	2.8
1518257276.00	41.239060350	-8.541630533	145.9	0.051	334.40	1.5	2.4	2.8
1518257277.00	41.239060417	-8.541630617	145.8	0.051	332.50	1.5	2.4	2.8
1518257278.00	41.239060500	-8.541630733	145.8	0.051	328.50	1.5	2.4	2.8
1518257279.00	41.239060500	-8.541630683	145.8	0.051	328.80	1.5	2.4	2.8
1518257280.00	41.239060517	-8.541630717	145.8	0.051	314.30	1.5	2.4	2.8
1518257281.00	41.239060533	-8.541630650	145.8	0.051	334.30	1.5	2.4	2.8
1518257282.00	41.239060567	-8.541630617	145.7	0.051	352.10	1.5	2.4	2.8
1518257283.00	41.239060600	-8.541630650	145.7	0.051	325.70	1.5	2.4	2.8
1518257284.00	41.239060600	-8.541630617	145.7	0.051	326.10	1.5	2.4	2.8
1518257285.00	41.239060583	-8.541630583	145.7	0.051	329.10	1.5	2.4	2.8
1518257286.00	41.239060650	-8.541630633	145.7	0.051	331.00	1.5	2.4	2.8
1518257287.00	41.239060667	-8.541630583	145.7	0.051	330.60	1.5	2.4	2.8
1518257288.00	41.239060583	-8.541630517	145.7	0.000	332.10	1.5	2.4	2.8
1518257289.00	41.239060583	-8.541630567	145.7	0.051	326.40	1.5	2.4	2.8
1518257290.00	41.239060550	-8.541630533	145.7	0.051	330.90	1.5	2.4	2.8
1518257291.00	41.239060650	-8.541630500	145.7	0.051	335.50	1.5	2.4	2.8
1518257292.00	41.239060867	-8.541630683	145.6	0.051	340.90	1.5	2.4	2.8
1518257293.00	41.239060950	-8.541630833	145.6	0.051	328.00	1.5	2.4	2.8
1518257294.00	41.239061433	-8.541631333	145.4	0.051	338.50	1.5	2.4	2.8
1518257295.00	41.239061833	-8.541631717	145.3	0.051	331.20	1.5	2.4	2.8
1518257296.00	41.239062167	-8.541632033	145.2	0.051	335.30	1.5	2.4	2.8
1518257297.00	41.239061767	-8.541631467	145.3	0.051	332.20	1.5	2.4	2.8
1518257298.00	41.239061650	-8.541631283	145.3	0.051	322.30	1.5	2.4	2.8
1518257299.00	41.239061600	-8.541631100	145.3	0.051	341.90	1.5	2.4	2.8
1518257300.00	41.239061550	-8.541630983	145.3	0.051	334.70	1.5	2.4	2.8
1518257301.00	41.239061533	-8.541630917	145.3	0.000	341.00	1.5	2.4	2.8
1518257302.00	41.239061583	-8.541630917	145.3	0.051	332.20	1.5	2.4	2.8
1518257303.00	41.239061650	-8.541630900	145.3	0.051	346.80	1.5	2.4	2.8
1518257304.00	41.239061717	-8.541630867	145.2	0.051	333.90	1.5	2.4	2.8
1518257305.00	41.239061750	-8.541630767	145.2	0.051	340.40	1.5	2.4	2.8
1518257306.00	41.239061833	-8.541630767	145.2	0.051	352.20	1.5	2.4	2.8
1518257307.00	41.239062033	-8.541630717	145.1	0.051	328.70	1.5	2.4	2.8
1518257308.00	41.239062067	-8.541630800	145.1	0.051	341.40	1.5	2.4	2.8
1518257309.00	41.239062283	-8.541630583	145.0	0.051	330.20	1.5	2.4	2.8
1518257310.00	41.239062433	-8.541630367	144.9	0.051	341.50	1.5	2.4	2.8
1518257311.00	41.239062500	-8.541630250	144.9	0.051	336.80	1.5	2.4	2.8
1518257312.00	41.239062500	-8.541630100	144.8	0.051	332.70	1.5	2.4	2.8
1518257313.00	41.239062533	-8.541629967	144.8	0.051	334.30	1.5	2.4	2.8
1518257314.00	41.239062683	-8.541629950	144.7	0.051	338.00	1.5	2.4	2.8
1518257315.00	41.239062817	-8.541629733	144.7	0.051	352.20	1.5	2.4	2.8
1518257316.00	41.239062950	-8.541629650	144.6	0.051	347.30	1.5	2.4	2.8
1518257317.00	41.239063117	-8.541629650	144.6	0.051	339.90	1.5	2.4	2.8
1518257318.00	41.239063317	-8.541629700	144.5	0.051	340.70	1.5	2.4	2.8
1518257319.00	41.239063517	-8.541629667	144.4	0.051	330.10	1.5	2.4	2.8
1518257320.00	41.239063583	-8.541629567	144.4	0.051	329.20	1.5	2.4	2.8
1518257321.00	41.239063833	-8.541629500	144.3	0.103	347.90	1.5	2.4	2.8
1518257322.00	41.239063983	-8.541629533	144.2	0.051	347.10	1.5	2.4	2.8
1518257323.00	41.239064233	-8.541629650	144.1	0.051	351.30	1.5	2.4	2.8
1518257324.00	41.239064183	-8.541629550	144.1	0.051	333.40	1.5	2.4	2.8
1518257325.00	41.239064117	-8.541629450	144.1	0.051	337.60	1.5	2.4	2.8
