n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.acc	gps.nsats
64	14634	1478956923	77	1478956928	41.2329144	-8.54530947	176.2	203.8	4.25	9	9
65	14634	1478956925	79	1478956930	41.23278608	-8.54540019	175.7	208.8	7	9	9
66	14634	1478956927	107	1478956932	41.2326654	-8.54544043	174.3	185.7	6.5	10	10
67	14634	1478956928	576	1478956934	41.23258694	-8.54529612	174.2	120.6	7.5	9	10
68	14634	1478956929	545	1478956935	41.23257399	-8.54517896	174.1	105.3	9	9	10
69	14634	1478956930	536	1478956936	41.23256586	-8.54504625	174.8	98.5	10.25	10	10
70	14634	1478956931	554	1478956937	41.23255531	-8.54492019	175.1	96.8	10.5	10	10
71	14634	1478956932	553	1478956938	41.23254526	-8.54481507	174.9	96.8	9.75	10	10
72	14634	1478956933	649	1478956939	41.23252804	-8.54471319	176.1	105.9	8.5	10	10
73	14634	1478956934	567	1478956940	41.23249604	-8.54462217	175.6	113.4	8.25	10	10
74	14634	1478956936	73	1478956941	41.23244191	-8.54457868	175	132.3	7	10	10
75	14634	1478956937	537	1478956943	41.23229594	-8.54462795	175	199.9	7.5	9	10
76	14634	1478956939	56	1478956944	41.23224476	-8.54469188	175.3	224.2	8	4	10
77	14634	1478956941	165	1478956946	41.23213458	-8.54490274	175.6	237.3	10.5	4	10
78	14634	1478956942	625	1478956948	41.23201139	-8.54515289	175.4	237	12.5	4	10
79	14634	1478956943	703	1478956949	41.2319378	-8.54529447	175.5	237	14	4	10
80	14634	1478956946	105	1478956951	41.2317867	-8.54559111	174.8	236.9	14.5	4	10
81	14634	1478956948	84	1478956953	41.2316422	-8.54588829	174.7	235.8	14	4	10
82	14634	1478956950	139	1478956955	41.23147799	-8.5461529	176.1	229.4	13.75	4	10
83	14634	1478956951	595	1478956957	41.23129752	-8.54638164	174.8	222.9	13.25	4	9
84	14634	1478956953	130	1478956958	41.23120809	-8.54649265	174.3	223.6	13	4	9
85	14634	1478956955	65	1478956960	41.23105507	-8.54669398	174.3	224.9	12.75	5	9
86	14634	1478956957	79	1478956962	41.23092744	-8.54692324	174.1	227.7	12.5	4	9
87	14634	1478956958	665	1478956964	41.23078049	-8.54712792	175.2	227.1	12	5	9
88	14634	1478956959	697	1478956965	41.23069592	-8.54723392	175.5	227	11.75	5	9
89	14634	1478956961	555	1478956967	41.23056333	-8.54743658	175.6	227.7	11.25	4	9
90	14634	1478956962	573	1478956968	41.23047415	-8.54753204	174.7	226.5	11.5	5	10
91	14634	1478956963	570	1478956969	41.23042473	-8.54764846	175	228.5	11	5	10
92	14634	1478956964	537	1478956970	41.23036557	-8.54770881	174.8	226	9.75	5	10
93	14634	1478956965	560	1478956971	41.23033022	-8.54777706	175	227	8.75	5	10
94	14634	1478956966	546	1478956972	41.2302876	-8.5478383	174.5	226.3	7.75	5	10
95	14634	1478956967	552	1478956973	41.23027129	-8.54788999	174.2	227.1	6.25	6	10
96	14634	1478956968	562	1478956974	41.23025058	-8.54790852	174.2	223.1	4.75	6	10
97	14634	1478956969	547	1478956975	41.23024615	-8.54794434	174.1	224.1	3.5	6	10
98	14634	1478956970	580	1478956976	41.23026171	-8.54797993	174	233	2.75	5	10
99	14634	1478956971	546	1478956977	41.23024157	-8.54802462	173.4	228.2	4	4	10
100	14634	1478956972	535	1478956978	41.23021812	-8.54806438	172.8	231.2	5	4	10
101	14634	1478956973	535	1478956979	41.23016918	-8.54812213	173.7	232.2	6.25	5	10
102	14634	1478956974	537	1478956980	41.23012628	-8.54816368	173.4	225.6	5.25	5	10
103	14634	1478956975	559	1478956981	41.23005266	-8.54822324	173.9	213.4	7	5	10
104	14634	1478956976	563	1478956982	41.2299811	-8.54835429	174.6	225.8	9.5	4	10
105	14634	1478956977	535	1478956983	41.22989978	-8.54846767	173.7	227.2	10.75	4	10
