gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1518264194.00	41.242589133	-8.562209717	105.0	11.626	40.40	1.5	?	?
1518264195.00	41.242661217	-8.562112733	105.3	11.266	50.30	1.5	?	?
1518264196.00	41.242714550	-8.561996300	105.5	11.524	63.60	1.5	?	?
1518264197.00	41.242747817	-8.561867367	105.1	11.729	75.60	1.5	?	?
1518264198.00	41.242770550	-8.561728450	105.0	12.089	81.10	1.5	?	?
1518264199.00	41.242792067	-8.561585783	105.0	12.244	81.10	1.5	?	?
1518264200.00	41.242814567	-8.561440817	105.1	12.347	79.60	1.8	?	?
1518264201.00	41.242838333	-8.561296783	105.2	12.295	78.00	1.8	?	?
1518264202.00	41.242862967	-8.561153967	105.2	12.244	77.20	1.8	?	?
1518264203.00	41.242888633	-8.561012950	105.2	12.141	76.50	1.8	?	?
1518264204.00	41.242915350	-8.560873367	105.4	12.038	76.10	1.8	?	?
1518264205.00	41.242942133	-8.560734717	105.8	11.987	76.10	1.8	?	?
1518264206.00	41.242968933	-8.560595750	106.3	11.935	76.50	2.1	?	?
1518264207.00	41.242994433	-8.560458483	106.4	11.935	76.90	1.8	?	?
1518264208.00	41.243021183	-8.560319767	107.0	11.935	76.80	1.8	?	?
1518264209.00	41.243047633	-8.560180633	107.6	11.935	76.90	1.8	?	?
1518264210.00	41.243074567	-8.560041267	108.5	11.935	76.80	1.8	?	?
1518264211.00	41.243101667	-8.559902217	109.2	11.987	76.50	1.8	?	?
1518264212.00	41.243128633	-8.559764500	109.7	11.884	76.20	1.8	?	?
1518264213.00	41.243155300	-8.559623717	110.9	11.832	76.50	1.8	?	?
1518264214.00	41.243183117	-8.559482467	112.3	11.935	76.10	1.8	?	?
1518264215.00	41.243211367	-8.559342083	113.7	11.935	75.80	1.8	?	?
1518264216.00	41.243239567	-8.559201917	115.1	11.935	76.00	1.8	?	?
1518264217.00	41.243265583	-8.559062983	116.6	11.832	76.80	1.8	?	?
1518264218.00	41.243289517	-8.558928817	118.0	11.472	77.40	1.8	?	?
1518264219.00	41.243313433	-8.558799183	119.4	11.112	76.50	1.8	?	?
1518264220.00	41.243337817	-8.558672100	121.1	10.906	75.40	1.6	?	?
1518264221.00	41.243355617	-8.558549517	120.2	10.855	75.40	1.6	?	?
1518264222.00	41.243372700	-8.558424300	119.3	11.009	75.80	1.6	?	?
1518264223.00	41.243390617	-8.558299067	118.1	11.112	75.40	1.6	?	?
1518264224.00	41.243410167	-8.558171883	116.9	11.369	75.60	1.6	?	?
1518264225.00	41.243431617	-8.558042167	116.3	11.472	75.90	1.6	?	?
1518264226.00	41.243453467	-8.557912500	115.6	11.524	76.20	1.6	?	?
1518264227.00	41.243475100	-8.557780400	115.3	11.524	77.60	1.6	?	?
1518264228.00	41.243496150	-8.557647783	115.1	11.575	78.30	1.6	?	?
1518264229.00	41.243517983	-8.557515250	115.1	11.575	77.90	1.6	?	?
1518264230.00	41.243534433	-8.557391867	111.9	11.524	77.90	1.6	?	?
1518264231.00	41.243552833	-8.557265250	109.8	11.524	77.80	1.6	?	?
1518264232.00	41.243573683	-8.557132617	108.8	11.678	77.50	1.6	?	?
1518264233.00	41.243597533	-8.556994417	109.0	11.884	77.20	1.6	?	?
1518264234.00	41.243622067	-8.556852633	109.2	12.089	77.20	1.6	?	?
1518264235.00	41.243647133	-8.556710417	109.6	12.141	77.20	1.6	?	?
1518264236.00	41.243671717	-8.556568100	110.0	12.038	77.40	1.6	?	?
1518264237.00	41.243696117	-8.556426650	110.2	11.987	77.30	1.6	?	?
1518264238.00	41.243720367	-8.556284717	110.0	12.089	76.80	1.6	?	?
1518264239.00	41.243745933	-8.556141333	109.6	12.244	76.30	4.2	?	?
1518264240.00	41.243771067	-8.555998700	108.8	12.244	76.40	1.5	?	?
1518264241.00	41.243796517	-8.555857117	108.2	12.192	76.60	1.5	?	?
1518264242.00	41.243821850	-8.555716300	107.4	12.089	77.00	1.5	?	?
1518264243.00	41.243847067	-8.555577267	106.7	11.935	77.00	1.5	?	?
1518264244.00	41.243871733	-8.555440083	106.4	11.781	77.10	1.5	?	?
1518264245.00	41.243896717	-8.555305683	106.3	11.524	76.80	1.5	?	?
1518264246.00	41.243920650	-8.555174417	106.7	11.215	76.80	1.5	?	?
1518264247.00	41.243943217	-8.555042850	107.1	11.112	77.20	1.5	?	?
1518264248.00	41.243960733	-8.554912067	108.3	10.598	82.10	1.7	?	?
1518264249.00	41.243964133	-8.554795167	110.0	9.157	91.50	1.7	?	?
1518264250.00	41.243949017	-8.554697450	110.7	8.025	105.50	1.7	?	?
1518264251.00	41.243907350	-8.554605333	110.7	8.334	122.90	1.7	?	?
1518264252.00	41.243869700	-8.554517483	110.7	8.643	124.60	1.7	?	?
1518264253.00	41.243846067	-8.554422100	110.6	9.003	111.30	1.7	?	?
1518264254.00	41.243841933	-8.554327133	110.2	8.694	94.40	2.5	?	?
1518264255.00	41.243869017	-8.554239717	111.1	8.283	69.70	2.5	?	?
1518264256.00	41.243906217	-8.554159850	110.8	8.437	49.30	2.3	?	?
1518264257.00	41.243959700	-8.554101267	110.1	8.334	32.30	1.7	?	?
1518264258.00	41.244022333	-8.554063083	109.8	8.283	16.50	1.7	?	?
1518264259.00	41.244089367	-8.554056417	109.1	8.231	358.90	1.7	?	?
1518264260.00	41.244155417	-8.554095950	106.3	8.334	341.10	1.5	?	?
1518264261.00	41.244216433	-8.554145217	105.5	8.437	324.90	1.5	?	?
1518264262.00	41.244264933	-8.554217083	103.7	8.540	309.80	1.5	?	?
1518264263.00	41.244297600	-8.554304683	102.9	8.591	294.10	1.5	?	?
1518264264.00	41.244312733	-8.554401483	102.5	8.694	279.60	1.5	?	?
1518264265.00	41.244296217	-8.554495133	101.8	8.437	259.30	1.5	?	?
1518264266.00	41.244261100	-8.554582650	101.5	8.694	238.70	1.5	?	?
1518264267.00	41.244208633	-8.554660550	101.2	9.311	222.80	1.6	?	?
1518264268.00	41.244139733	-8.554735100	101.1	10.289	216.40	1.8	2.7	3.2
1518264269.00	41.244063583	-8.554815617	100.9	11.009	219.90	1.8	2.7	3.2
1518264270.00	41.243998517	-8.554914500	100.3	11.678	231.70	1.8	2.7	3.2
1518264271.00	41.243942850	-8.555034900	100.2	12.758	241.70	1.9	2.7	3.3
1518264272.00	41.243897533	-8.555173650	99.9	13.376	247.60	1.7	?	?
1518264273.00	41.243884700	-8.555308450	99.3	12.501	256.60	1.7	?	?
1518264274.00	41.243864500	-8.555446017	99.4	11.935	258.20	1.7	?	?
1518264275.00	41.243843183	-8.555579683	99.4	11.421	258.30	1.7	?	?
1518264276.00	41.243821517	-8.555709267	99.5	11.112	258.00	1.5	?	?
1518264277.00	41.243800650	-8.555835950	99.7	10.906	257.60	1.5	?	?
1518264278.00	41.243777517	-8.555966250	99.9	11.112	256.80	1.5	?	?
1518264279.00	41.243755533	-8.556097067	100.2	11.266	256.60	1.5	?	?
1518264280.00	41.243733517	-8.556228500	100.8	11.421	256.40	1.5	?	?
1518264281.00	41.243711200	-8.556361267	101.2	11.575	256.30	1.4	?	?
1518264282.00	41.243690417	-8.556495767	101.7	11.781	256.70	1.6	?	?
1518264283.00	41.243670550	-8.556630900	102.4	11.935	257.40	1.5	?	?
1518264284.00	41.243651717	-8.556766983	102.6	11.935	258.40	1.5	?	?
1518264285.00	41.243631883	-8.556904483	102.7	11.935	258.70	1.5	?	?
1518264286.00	41.243613233	-8.557040967	103.3	11.832	258.40	1.5	?	?
1518264287.00	41.243590133	-8.557181867	103.0	11.987	257.40	1.5	?	?
1518264288.00	41.243564717	-8.557328717	101.6	12.192	256.60	1.5	?	?
1518264289.00	41.243536950	-8.557476533	100.6	12.552	255.70	1.5	?	?
1518264290.00	41.243511300	-8.557620500	99.4	12.450	255.90	1.5	?	?
1518264291.00	41.243483833	-8.557762100	98.3	12.398	255.80	1.5	?	?
1518264292.00	41.243459133	-8.557904200	97.0	12.192	256.30	1.5	?	?
1518264293.00	41.243432633	-8.558047383	95.7	12.192	256.30	1.5	?	?
1518264294.00	41.243406583	-8.558189250	94.8	12.089	256.10	1.5	?	?
1518264295.00	41.243375150	-8.558329300	93.7	12.141	254.60	1.5	?	?
1518264296.00	41.243348350	-8.558468017	93.1	12.141	255.20	1.5	?	?
1518264297.00	41.243322133	-8.558608000	92.6	12.089	255.50	1.6	?	?
1518264298.00	41.243297750	-8.558747067	92.1	11.935	256.20	1.6	?	?
1518264299.00	41.243273000	-8.558883967	91.6	11.832	256.80	1.9	?	?
1518264300.00	41.243246900	-8.559020083	91.6	11.729	256.70	1.6	?	?
1518264301.00	41.243222733	-8.559149067	92.2	11.318	257.10	1.9	?	?
1518264302.00	41.243198717	-8.559275867	93.2	10.958	256.80	1.6	?	?
1518264303.00	41.243177267	-8.559402933	94.7	10.649	256.80	1.6	?	?
1518264304.00	41.243156083	-8.559530817	96.1	10.700	256.90	1.6	?	?
1518264305.00	41.243134333	-8.559656700	97.3	10.752	257.10	1.6	?	?
1518264306.00	41.243112317	-8.559785617	98.1	11.009	257.50	1.6	?	?
1518264307.00	41.243085367	-8.559917100	99.1	11.266	255.80	1.6	?	?
1518264308.00	41.243060233	-8.560051150	100.1	11.524	255.90	1.6	?	?
1518264309.00	41.243037117	-8.560185167	100.7	11.524	256.40	1.6	?	?
1518264310.00	41.243017300	-8.560317117	101.8	11.369	257.50	1.6	?	?
1518264311.00	41.242994433	-8.560453300	103.1	11.524	257.10	1.6	?	?
1518264312.00	41.242974250	-8.560589000	104.3	11.575	257.50	1.6	?	?
1518264313.00	41.242954233	-8.560719967	105.6	11.369	257.50	2.0	?	?
1518264314.00	41.242933150	-8.560854783	106.3	11.472	257.70	2.0	?	?
1518264315.00	41.242910967	-8.560987783	106.9	11.472	257.10	2.0	?	?
1518264316.00	41.242889300	-8.561123983	107.0	11.472	257.80	2.1	?	?
1518264317.00	41.242857617	-8.561265950	106.0	11.832	256.40	2.1	?	?
1518264318.00	41.242821750	-8.561407800	105.1	11.987	254.60	2.1	?	?
1518264319.00	41.242794567	-8.561545917	104.4	11.884	255.40	2.1	?	?
1518264320.00	41.242765383	-8.561682733	103.7	11.781	255.30	2.1	?	?
1518264321.00	41.242736000	-8.561820250	103.8	11.832	254.40	2.1	?	?
1518264322.00	41.242718483	-8.561954167	103.8	11.935	257.40	2.1	?	?
1518264323.00	41.242706533	-8.562096417	104.3	12.604	262.40	1.9	?	?
1518264324.00	41.242725100	-8.562227150	104.3	11.729	274.80	1.9	4.0	4.5
1518264325.00	41.242744383	-8.562350067	104.6	10.803	281.00	1.9	4.0	4.5
1518264326.00	41.242777450	-8.562462367	104.8	10.083	287.50	1.9	4.0	4.5
1518264327.00	41.242799933	-8.562575717	104.6	9.569	284.20	1.8	?	?
1518264328.00	41.242790950	-8.562683300	104.4	8.797	269.50	1.8	?	?
1518264329.00	41.242786667	-8.562779983	104.5	8.077	250.50	1.8	?	?
1518264330.00	41.242736833	-8.562857050	104.8	9.106	222.10	1.9	4.0	4.5
1518264331.00	41.242669750	-8.562889233	105.7	10.392	196.90	22.6	34.7	41.4
1518264332.00	41.242578450	-8.562895017	105.5	11.626	181.00	1.9	4.0	4.5
1518264333.00	41.242475150	-8.562883783	104.2	12.604	172.50	22.4	34.5	41.2
1518264334.00	41.242370417	-8.562857850	103.6	12.964	167.10	4.6	1.0	4.7
1518264335.00	41.242354333	-8.562687467	103.2	11.626	135.50	3.9	1.0	4.0
1518264336.00	41.242284867	-8.562575267	102.1	12.398	131.90	1.7	?	?
1518264337.00	41.242207783	-8.562479100	102.7	12.398	138.80	3.1	?	?
1518264338.00	41.242123100	-8.562403800	104.8	12.192	149.80	1.7	?	?
1518264339.00	41.242020033	-8.562353917	105.1	12.450	161.40	1.7	?	?
1518264340.00	41.241915983	-8.562324083	105.7	12.398	169.40	1.8	?	?
1518264341.00	41.241805417	-8.562299800	105.6	12.758	172.50	1.8	?	?
1518264342.00	41.241692467	-8.562285533	105.4	12.964	176.20	1.8	3.9	4.3
1518264343.00	41.241583100	-8.562272817	105.7	12.758	177.90	1.8	3.9	4.3
1518264344.00	41.241482350	-8.562257883	107.0	12.141	177.70	1.8	3.9	4.3
